ride_id,timestamp,hour,day_of_week,pickup_district,dropoff_district,passengers,distance_km,duration_min,fare_rub
1,2024-01-13 16:47:17,16,Saturday,Вокзал,ТЦ-Мега,1,9.3,20,261
2,2024-04-21 04:14:32,4,Sunday,ТЦ-Мега,Спальный-Север,4,21.5,71,654
3,2024-01-04 15:48:51,15,Thursday,Спальный-Север,Промзона,1,6.4,19,233
4,2024-02-19 07:22:54,7,Monday,Университет,Вокзал,4,12.7,32,322
5,2024-05-30 06:53:40,6,Thursday,Вокзал,Центр,2,22.0,91,673
6,2024-02-10 18:54:14,18,Saturday,Промзона,Аэропорт,3,30.5,86,776
7,2024-12-09 10:17:44,10,Monday,Аэропорт,Спальный-Север,2,32.8,116,925
8,2024-05-18 13:59:40,13,Saturday,Центр,Спальный-Север,1,24.4,58,588
9,2024-07-24 18:17:04,18,Wednesday,Промзона,Спальный-Север,4,8.2,36,342
10,2024-11-25 11:29:09,11,Monday,Спальный-Юг,ТЦ-Мега,4,10.0,25,326
11,2024-03-11 11:32:31,11,Monday,Аэропорт,ТЦ-Мега,1,4.1,8,170
12,2024-11-01 11:29:33,11,Friday,Вокзал,Спальный-Юг,3,9.5,31,366
13,2024-08-10 07:10:29,7,Saturday,Аэропорт,Вокзал,3,1.1,4,129
14,2024-09-16 19:38:12,19,Monday,Центр,Промзона,4,6.2,24,256
15,2024-07-04 03:56:53,3,Thursday,Вокзал,Вокзал,4,28.4,69,647
16,2024-09-29 19:49:08,19,Sunday,Спальный-Юг,ТЦ-Мега,2,5.4,17,228
17,2024-12-19 20:12:45,20,Thursday,Университет,Университет,1,11.6,52,419
18,2024-02-02 09:21:01,9,Friday,Вокзал,Центр,2,21.0,51,500
19,2024-01-17 06:55:21,6,Wednesday,Спальный-Север,Аэропорт,4,3.4,8,180
20,2024-08-30 09:51:26,9,Friday,ТЦ-Мега,ТЦ-Мега,4,7.5,15,252
21,2024-01-28 19:43:41,19,Sunday,Промзона,Вокзал,2,34.5,71,795
22,2024-10-01 08:28:08,8,Tuesday,Вокзал,Университет,1,15.3,39,400
23,2024-10-03 05:53:00,5,Thursday,Аэропорт,ТЦ-Мега,4,33.9,146,1087
24,2024-07-24 13:57:03,13,Wednesday,Университет,Спальный-Юг,4,6.6,12,229
25,2024-10-11 17:42:45,17,Friday,Центр,Центр,3,17.5,40,428
26,2024-10-26 06:30:32,6,Saturday,Вокзал,Аэропорт,1,32.3,104,714
27,2024-12-11 15:55:15,15,Wednesday,Центр,Вокзал,4,14.7,64,488
28,2024-10-16 17:33:20,17,Wednesday,Спальный-Север,Спальный-Юг,4,32.8,77,883
29,2024-11-26 07:19:29,7,Tuesday,Университет,Вокзал,1,11.8,45,340
30,2024-09-16 14:16:08,14,Monday,Промзона,Спальный-Юг,2,32.7,137,1054
31,2024-10-05 12:45:19,12,Saturday,Центр,Спальный-Юг,1,21.8,97,698
32,2024-03-09 21:16:07,21,Saturday,Спальный-Юг,Спальный-Север,3,31.3,119,762
33,2024-11-20 08:54:16,8,Wednesday,Центр,Вокзал,4,18.2,45,574
34,2024-01-23 19:00:21,19,Tuesday,Университет,ТЦ-Мега,1,27.2,96,690
35,2024-12-19 07:57:09,7,Thursday,Аэропорт,ТЦ-Мега,2,19.6,79,607
36,2024-07-05 05:57:59,5,Friday,Спальный-Север,Спальный-Север,1,28.1,116,922
37,2024-10-13 10:56:55,10,Sunday,Спальный-Север,Аэропорт,2,14.8,51,402
38,2024-01-13 19:11:47,19,Saturday,Спальный-Север,Спальный-Юг,2,32.4,127,876
39,2024-02-25 18:24:55,18,Sunday,Университет,Промзона,3,2.3,7,146
40,2024-04-26 19:14:01,19,Friday,Вокзал,Спальный-Юг,3,23.4,67,580
41,2024-07-23 16:43:53,16,Tuesday,Спальный-Юг,Аэропорт,3,19.2,83,519
42,2024-11-01 05:27:22,5,Friday,Вокзал,ТЦ-Мега,2,25.8,68,702
43,2024-12-28 09:27:00,9,Saturday,Спальный-Север,Промзона,4,18.7,74,601
44,2024-12-06 06:58:21,6,Friday,Спальный-Юг,Спальный-Юг,4,22.2,80,554
45,2024-12-22 10:18:35,10,Sunday,Аэропорт,Спальный-Юг,4,5.3,16,245
46,2024-01-01 14:19:18,14,Monday,Промзона,Университет,4,8.1,32,310
47,2024-04-19 12:32:30,12,Friday,Вокзал,Спальный-Юг,3,28.0,123,888
48,2024-04-30 07:43:19,7,Tuesday,Спальный-Север,Университет,1,8.6,20,245
49,2024-11-18 13:36:12,13,Monday,Аэропорт,Центр,1,25.4,72,650
50,2024-04-22 18:11:51,18,Monday,Спальный-Север,Вокзал,4,33.6,107,734
51,2024-08-25 07:42:33,7,Sunday,Университет,ТЦ-Мега,4,34.6,118,1080
52,2024-08-31 20:28:16,20,Saturday,Университет,Спальный-Север,3,26.6,108,709
53,2024-12-31 12:18:15,12,Tuesday,Аэропорт,Аэропорт,2,10.2,27,331
54,2024-03-19 11:45:13,11,Tuesday,ТЦ-Мега,Центр,2,3.2,9,174
55,2024-07-18 19:57:49,19,Thursday,ТЦ-Мега,Университет,1,20.9,77,684
56,2024-06-01 21:48:24,21,Saturday,Спальный-Север,Университет,2,30.0,131,848
57,2024-09-05 09:01:24,9,Thursday,Аэропорт,Университет,2,12.4,45,389
58,2024-09-30 22:01:58,22,Monday,ТЦ-Мега,Аэропорт,4,14.4,48,373
59,2024-05-13 08:24:20,8,Monday,ТЦ-Мега,Спальный-Юг,4,8.2,22,305
60,2024-02-11 09:30:01,9,Sunday,Спальный-Север,Вокзал,1,26.5,51,772
61,2024-05-06 18:12:53,18,Monday,Вокзал,Спальный-Север,4,1.7,4,131
62,2024-07-07 17:10:38,17,Sunday,Аэропорт,Спальный-Юг,1,21.6,82,548
63,2024-06-08 15:36:43,15,Saturday,Спальный-Север,Вокзал,2,31.9,90,963
64,2024-06-03 07:54:43,7,Monday,Центр,Промзона,4,21.4,46,659
65,2024-02-05 17:32:41,17,Monday,Вокзал,ТЦ-Мега,3,12.6,52,459
